GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,IncrementPieceBuilderController,0,49,0,0,0,16,0,2,0,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,BuilderBoardController,133,28,16,0,28,10,11,1,3,1
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,LoadLevelsBuilderController,10,39,0,0,4,11,2,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,CreateNewLevelBuilderController,10,39,0,0,4,11,2,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,BuilderReleaseBoardController,253,160,30,10,59,47,19,5,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,SetNumberController,123,175,14,12,34,50,13,4,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,UndoController,12,96,0,4,5,22,2,4,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,SetColorController,51,148,15,11,17,43,13,4,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,DeselectReleaseButtonsController,7,123,4,4,2,35,6,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,RandomizeReleaseController,25,19,2,0,9,7,4,1,3,1
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,GoToMainMenuBuilderController,11,43,0,0,4,12,2,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,SaveLevelController,60,144,7,15,23,38,9,6,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,SelectLevelBuilderController,48,96,6,6,10,22,8,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,TestLevelBuilderController,11,167,0,0,4,44,2,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,RedoController,12,96,0,4,5,22,2,4,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,EditNewLevelBuilderController,13,136,1,7,5,32,3,5,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",levelbuilder.controller,DeleteLevelController,12,58,0,0,5,16,2,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,ChangeScreenMove,27,0,4,0,10,0,5,0,3,0
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,FlipPieceMove,17,34,5,3,5,10,4,3,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,RotatePieceMove,17,34,5,3,5,10,4,3,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,Move,0,3,0,0,0,1,0,1,0,1
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,SelectLevelMove,6,53,3,3,2,9,3,3,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller.moves,SelectPieceMove,0,31,0,4,0,10,0,5,0,3
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji,Main,41,6307,3,37,11,123,4,37,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,BoardController,21,0,0,0,9,0,4,0,4,0
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,RotateSelectedPieceBullpenController,18,77,1,1,5,19,3,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,GoToMainMenuController,11,80,0,6,4,20,2,5,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,NextLevelController,141,0,8,0,39,0,8,0,4,0
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,FlipSelectedPieceBullpenController,18,77,1,1,5,19,3,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,GoToLevelSelectController,11,39,0,0,4,11,2,2,2,2
"CS3733_D16_Idomeneus_Kabasuji (May 3, 2016 7:08:21 PM)/CS3733_D16_Idomeneus_Kabasuji/src",kabasuji.controller,TileController,625,75,79,1,134,20,46,2,6,2
